,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1868,ANSR,2008.0,Bangalore,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.","Sistema Asia Capital, Evolvence India Fund","$15,000,000",Series B,2021,2,1,Consumer Services,Dollars,15000000.0
1869,Keito,2016.0,Pune,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises","Rajesh Agarwal, Nandkishore Mundada",Undisclosed,Seed,2021,2,1,Technology,Not Specified,28488165.70327553
1870,Reccy Adventures,2019.0,Gurugram,Reccy Adventures is an adventure sports startup.,"Kallol Banerjee, Jaydeep Barman","$400,000",Seed,2021,2,3,Gaming,Dollars,400000.0
1871,Magenta EV,2017.0,Mumbai,Magenta is in the business of Enabling electric mobility & Making electricity clean,"JITO Angel Network, LetsVenture","$15,000,000",Series A,2021,2,2,Energy,Dollars,15000000.0
1872,Karbon Card,2019.0,Bangalore,Karbon Card is a financial platform for Indian entrepreneurs.,"MyAsia VC, Orios Venture Partners","$1,000,000",Series B,2021,2,6,FinTech,Dollars,1000000.0
1873,Wysa,2015.0,Bangalore,Wysa is an AI conversational agent that has been shown to help improve mental health,"W Health Ventures, Pi Ventures","$5,000,000",Series A,2021,2,2,Technology,Dollars,5000000.0
1874,Agnikul,2017.0,Chennai,"Agnikul is a space tech startup that designs, manufactures, tests, and launch orbital class rockets for micro and nano satellites.","Artha India Ventures, Sriram Krishnan","$11,000,000",Series A,2021,2,3,Technology,Dollars,11000000.0
1875,LegalPay,2019.0,Delhi,A trusted financial partner for advocates and corporate.,9Unicorns,Undisclosed,Seed,2021,1,1,FinTech,Not Specified,28488165.70327553
1876,Glamplus,2020.0,Bangalore,India's #1 SaaS based Salon experience Software,Inflection Point Ventures,"$200,000",Series A,2021,1,1,Technology,Dollars,200000.0
1877,Tekie,2017.0,Gurugram,"Tekie is a live coding platform for kids that uses the power of storytelling, to make learning to code a movie-like experience.","GSV, Multiply Ventures","$1,500,000",Seed,2021,2,2,Education,Dollars,1500000.0
1878,Asirvad Microfinance,2007.0,Chennai,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,"WorldBusiness Capital, Northern Arc","$15,000,000",Venture - Series Unknown,2021,2,1,FinTech,Dollars,15000000.0
